step,profile_mae,phase_distance,duty_mae,freq_ratio,g_ratio,support,ood_value,vx_ratio,dx,drift_ratio,survival,fell,cycles,active_legs,temporal_error
320000,0.19975444444444446,0.1212121212121212,0.13008080808080807,1.2222222222222219,0.6970478160942025,0.684119462966919,0.0632857158780098,0.8963298645836172,3.9743808722218557,0.37847769173089807,1.0,0.0,10.0,6.0,0.24992211830998218
390000,0.23782467320261436,0.2560606060606061,0.12804040404040404,1.0999999999999996,0.8115051242430584,0.79074627161026,0.053857143968343735,0.9763096406952066,4.371861632964919,0.2169404710903835,1.0,0.0,17.0,6.0,0.2616522181536955
250000,0.19821499999999997,0.20265151515151514,0.12004040404040406,1.3749999999999996,0.7048859526447867,0.6895649433135986,0.05214285850524902,0.979143007716179,4.191702917750002,0.05945182724067975,1.0,0.0,15.0,6.0,0.27782843277963354
110000,0.25481562499999993,0.22272727272727277,0.09020202020202021,1.0999999999999996,0.5208404406176175,0.49761927127838135,0.06971428543329239,0.9274043660275105,3.9207083281271675,0.1401863559455749,1.0,0.0,8.0,5.0,0.27864316995108107
380000,0.22856767676767678,0.2272727272727273,0.15404040404040406,1.2222222222222219,0.7150510063408639,0.718995988368988,0.05228571593761444,1.2367089803165292,5.452379441722089,0.1374068918754238,1.0,0.0,11.0,6.0,0.27873535063321453
210000,0.20131249999999998,0.22348484848484848,0.14737373737373738,1.3749999999999996,0.6914266463337205,0.6692310571670532,0.04814285784959793,1.0202092019247888,4.523675261005563,0.29588418028087005,1.0,0.0,4.0,5.0,0.28092593277963357
90000,0.242375,0.1923076923076923,0.12563636363636366,0.8461538461538458,0.3978180925333422,0.39849328994750977,0.06142857298254967,0.56041584572426,2.289668129194209,0.34682581680547886,1.0,0.0,10.0,5.0,0.28413852116579164
290000,0.20986770833333335,0.1401515151515151,0.13341414141414143,1.3749999999999996,0.7183910856568918,0.699076235294342,0.05614285543560982,1.1339790038921476,4.694555122735642,0.0679531823918015,1.0,0.0,16.0,6.0,0.2894811411129669
200000,0.21247569444444445,0.22348484848484848,0.1287070707070707,1.3749999999999996,0.6772035897779222,0.6507627367973328,0.06199999898672104,1.0351308859627362,4.301912743530791,0.2612952336529179,1.0,0.0,8.0,6.0,0.29208912722407804
310000,0.21460583333333336,0.1818181818181818,0.12214141414141415,1.3749999999999996,0.7638421510876401,0.7418261170387268,0.05257142707705498,1.0236322088804726,4.5589493993308245,0.310631819731413,1.0,0.0,10.0,6.0,0.29421926611296695
100000,0.248275,0.2777777777777778,0.13153535353535353,1.2222222222222219,0.12297310651406951,0.12094752490520477,0.07314285635948181,0.41243185391225035,1.6757442201276533,1.0407046273051106,1.0,0.0,2.0,5.0,0.2984426738655377
240000,0.2196345238095238,0.1818181818181818,0.1190909090909091,1.3749999999999996,0.7597390803866947,0.7330656051635742,0.043857142329216,1.0382278692667772,4.648630173488378,0.04102269034845497,1.0,0.0,7.0,6.0,0.29924795658915737
340000,0.2246090277777778,0.16477272727272727,0.13014141414141414,1.3749999999999996,0.7939660189320347,0.7696347832679749,0.04714285582304001,1.0352330636424312,4.705805853038326,0.04147796031788148,1.0,0.0,12.0,6.0,0.30422246055741137
330000,0.2265638888888889,0.20265151515151514,0.14074747474747476,1.3749999999999996,0.8038346535526697,0.7774161100387573,0.04699999839067459,1.0169689583840513,4.573377485917389,0.0004053761851848352,1.0,0.0,6.0,5.0,0.30617732166852246
270000,0.2270455882352941,0.1818181818181818,0.14074747474747476,1.3749999999999996,0.7777864531381299,0.7445675134658813,0.0487142838537693,1.07063408092804,4.5499347294574,0.09238252185389445,1.0,0.0,17.0,6.0,0.3066590210149277
350000,0.22816388888888886,0.20643939393939395,0.14484848484848487,1.3749999999999996,0.8131142443214942,0.7712757587432861,0.04514285549521446,1.0337362175369833,4.64330464693556,0.2796493013394868,1.0,0.0,14.0,5.0,0.30777732166852245
40000,0.25937847222222216,0.2592592592592593,0.0911919191919192,1.2222222222222219,0.833927070873628,0.9008932113647461,0.01728571392595768,0.05954736623376678,0.2511792844577978,0.6454299153470937,1.0,0.0,4.0,5.0,0.3095461460877599
230000,0.23262550505050503,0.16098484848484845,0.14880808080808083,1.3749999999999996,0.8260540689304411,0.7817432880401611,0.03700000047683716,1.1134458091913588,4.858764115016214,0.3459349951569846,1.0,0.0,11.0,6.0,0.3122389378301386
180000,0.26365694444444443,0.23232323232323235,0.1308080808080808,1.2222222222222219,0.6385513180636123,0.6012200713157654,0.06028571352362633,0.8873048443682208,3.841901155089709,0.5454529234588795,1.0,0.0,4.0,6.0,0.31382461830998215
150000,0.2752347222222222,0.21885521885521886,0.17280808080808077,1.2222222222222219,0.8097074696595198,0.7319039702415466,0.04800000041723251,0.7927834476147547,3.3293196307444015,0.5377494179437489,1.0,0.0,6.0,4.0,0.3254023960877599
280000,0.2476376984126984,0.20265151515151514,0.1407070707070707,1.3749999999999996,0.6442634245252362,0.6519103646278381,0.06471428275108337,0.9202408784737103,3.90309782391758,0.1865522030766871,1.0,0.0,7.0,5.0,0.32725113119233196
370000,0.24798958333333332,0.16098484848484848,0.14604040404040405,1.3749999999999996,0.6963166546626286,0.6771706342697144,0.05999999865889549,1.0669814130874709,4.655174799851149,0.20860973464136542,1.0,0.0,12.0,6.0,0.3276030161129669
260000,0.2518552777777778,0.16098484848484845,0.1467070707070707,1.3749999999999996,0.8497084039002696,0.7851647138595581,0.047428570687770844,0.748254141610657,3.2705073637587687,0.08677831806999511,1.0,0.0,10.0,5.0,0.33146871055741134
220000,0.28191875,0.19528619528619529,0.13870707070707075,1.2222222222222219,0.44116365924900874,0.41588225960731506,0.07414285838603973,0.9813301783505507,4.121372435739722,0.11045590107281686,1.0,0.0,8.0,5.0,0.3320864238655377
300000,0.2530020202020202,0.16287878787878787,0.1334141414141414,1.3749999999999996,0.7642186298735453,0.7504797577857971,0.046714287251234055,1.1757063053509256,4.996986618906218,0.27150716401059305,1.0,0.0,11.0,6.0,0.33261545298165374
190000,0.25661354166666667,0.20265151515151514,0.12004040404040406,1.3749999999999996,0.4717963004403579,0.46378013491630554,0.06385714560747147,0.8463343360375276,3.546630517818938,0.41834140172358647,1.0,0.0,8.0,6.0,0.33622697444630023
160000,0.28702777777777777,0.1851851851851852,0.10804040404040405,1.2222222222222219,0.6473267308032498,0.60606849193573,0.05299999937415123,0.8269692945767451,3.661495849798052,0.3496253106037066,1.0,0.0,4.0,5.0,0.3371954516433155
140000,0.26779583333333334,0.26515151515151514,0.152020202020202,1.3749999999999996,0.8303676810711188,0.7326359748840332,0.04942857101559639,0.7226431455234896,3.2013448132542726,0.43999692774912846,1.0,0.0,4.0,3.0,0.3474092661129669
400000,0.2711769607843137,0.20643939393939395,0.13418181818181815,1.3749999999999996,0.706580022863603,0.6999495029449463,0.06185714155435562,1.0079388919191459,4.489991497012965,0.03515866683464298,1.0,0.0,17.0,6.0,0.35079039356394726
360000,0.2781911111111111,0.14204545454545456,0.14414141414141415,1.3749999999999996,0.7781692557558252,0.7510601282119751,0.05585714429616928,1.104570190471069,4.752681301909109,0.12909252366005197,1.0,0.0,5.0,6.0,0.3578045438907447
170000,0.2977380952380952,0.22348484848484848,0.20189898989898988,1.3749999999999996,0.2695070606846703,0.2500600218772888,0.06199999898672104,0.3783237901854921,1.677481334400646,1.7829754886022573,1.0,0.0,7.0,5.0,0.37735152801772875
130000,0.3543722222222222,0.1984848484848485,0.16147474747474747,1.0999999999999996,0.7826309298781491,0.6737049221992493,0.05185714364051819,0.6653552035238876,2.972528482156653,0.7529180044488275,1.0,0.0,2.0,4.0,0.37819976717330334
50000,0.3733916666666667,0.2861952861952862,0.28963636363636364,1.2222222222222219,0.9996188837374487,0.8806966543197632,0.021571429446339607,0.014589355470367344,0.043532274990915276,4.572652057109296,1.0,0.0,2.0,4.0,0.4235593405322044
70000,0.339365873015873,0.3095238095238095,0.21080808080808078,1.5714285714285707,0.06558726306077843,0.0660610944032669,0.043714284896850586,0.07879311136924141,0.3762489551318686,4.233197085171842,1.0,0.0,7.0,4.0,0.4523621539516372
20000,0.4062166666666667,0.14814814814814817,0.21030303030303032,1.2222222222222219,1.0243907662612275,0.979271411895752,0.007000000216066837,0.14728181387305694,0.6870298928434753,0.25951488725372074,1.0,0.0,1.0,5.0,0.45638434053220445
30000,0.42334722222222226,0.2272727272727273,0.15204040404040406,1.3749999999999996,0.7762377888916077,0.9486965537071228,0.014428571797907352,0.2174012353347302,0.9661486148995412,0.03756983223930625,1.0,0.0,1.0,5.0,0.5029606550018558
120000,0.4344305555555556,0.26704545454545453,0.1291919191919192,1.3749999999999996,0.6514041267471272,0.596208393573761,0.061571430414915085,0.5868632958428311,2.580080335632745,0.838500034276569,1.0,0.0,1.0,5.0,0.5140439883351892
80000,0.45296388888888894,0.2670454545454546,0.1361010101010101,1.3749999999999996,0.07647209002134757,0.07175325602293015,0.047285713255405426,0.09539499043589085,0.3110845818646104,4.2492224736847115,1.0,0.0,1.0,5.0,0.5325773216685226
10000,0.43389166666666673,,0.29830303030303035,1.5714285714285707,0.8856482576831605,1.0,0.0,-0.000632753735134741,-0.0032343704187003386,22.646859935822295,1.0,0.0,1.0,5.0,0.5468879476024309
60000,0.4550166666666666,0.18939393939393942,0.32096969696969696,1.8333333333333326,0.9884077417866495,0.8780990242958069,0.013285714201629162,0.00978078885244855,0.07722864989191347,4.930044220390339,1.0,0.0,1.0,3.0,0.6065506175592454
