ep,morph,period,phase_distance_to_expert,duty_mae_to_expert,support_mean
521,long,8,0.09583333333333334,0.06565656565656562,3.1515151515151514
521,medium,10,0.18333333333333335,0.07575757575757576,3.242424242424242
521,short,16,0.30624999999999997,0.07828282828282827,3.106060606060606
625,long,9,0.16666666666666666,0.03030303030303028,3.090909090909091
625,medium,18,0.28703703703703703,0.055555555555555546,3.212121212121212
625,short,10,0.0666666666666667,0.04292929292929293,3.1363636363636362
926,long,9,0.13468013468013465,0.06818181818181818,3.212121212121212
926,medium,10,0.14393939393939392,0.06060606060606063,3.1363636363636362
926,short,19,0.23046251993620417,0.053030303030303004,3.0
